gene	chr	strand	is_gxe	is_bg	n_small_indel	n_large_indel	n_SNP	n_sv_total	has_any_sv
Zm00001eb001680	chr1	+	False	True	3	1	15	19	True
Zm00001eb001700	chr1	+	False	True	0	0	1	1	True
Zm00001eb001710	chr1	+	False	True	2	0	11	13	True
Zm00001eb001770	chr1	+	False	True	10	0	29	39	True
Zm00001eb001780	chr1	+	False	True	4	0	30	34	True
Zm00001eb001810	chr1	+	False	True	10	0	45	55	True
Zm00001eb001820	chr1	+	False	True	13	1	32	46	True
Zm00001eb001830	chr1	+	False	True	6	0	19	25	True
Zm00001eb001840	chr1	-	False	True	3	1	29	33	True
Zm00001eb001860	chr1	+	False	True	0	0	0	0	False
Zm00001eb001870	chr1	+	False	True	3	2	6	11	True
Zm00001eb001880	chr1	+	False	True	1	0	0	1	True
Zm00001eb001890	chr1	-	True	False	2	0	2	4	True
Zm00001eb001910	chr1	-	False	True	3	4	25	32	True
Zm00001eb001940	chr1	-	False	True	8	3	54	65	True
Zm00001eb001950	chr1	-	False	True	16	0	13	29	True
Zm00001eb001980	chr1	-	False	True	9	0	20	29	True
Zm00001eb002000	chr1	+	False	True	10	0	33	43	True
Zm00001eb002020	chr1	-	False	True	13	1	33	47	True
Zm00001eb002040	chr1	-	False	True	1	0	2	3	True
Zm00001eb002060	chr1	+	False	True	0	0	2	2	True
Zm00001eb002100	chr1	-	False	True	7	1	27	35	True
Zm00001eb002180	chr1	+	False	True	3	0	16	19	True
Zm00001eb002190	chr1	-	False	True	6	2	27	35	True
Zm00001eb002200	chr1	-	False	True	7	0	8	15	True
Zm00001eb002220	chr1	-	False	True	2	1	10	13	True
Zm00001eb002240	chr1	+	False	True	8	1	20	29	True
Zm00001eb002250	chr1	-	False	True	9	2	23	34	True
Zm00001eb002320	chr1	-	False	True	4	1	41	46	True
Zm00001eb002380	chr1	+	False	True	0	0	0	0	False
Zm00001eb002390	chr1	+	False	True	11	0	14	25	True
Zm00001eb002420	chr1	+	False	True	5	1	24	30	True
Zm00001eb002430	chr1	-	False	True	6	3	48	57	True
Zm00001eb002460	chr1	+	False	True	0	0	2	2	True
Zm00001eb002470	chr1	+	False	True	4	1	9	14	True
Zm00001eb002480	chr1	+	False	True	8	0	17	25	True
Zm00001eb002490	chr1	-	False	True	1	0	2	3	True
Zm00001eb002510	chr1	-	False	True	4	1	3	8	True
Zm00001eb002520	chr1	-	False	True	6	2	40	48	True
Zm00001eb002530	chr1	-	False	True	2	0	28	30	True
Zm00001eb002540	chr1	+	False	True	3	0	21	24	True
Zm00001eb002550	chr1	+	False	True	2	2	31	35	True
Zm00001eb002560	chr1	+	False	True	3	0	29	32	True
Zm00001eb002570	chr1	+	False	True	3	1	9	13	True
Zm00001eb002590	chr1	-	False	True	17	3	46	66	True
Zm00001eb002610	chr1	+	False	True	8	0	25	33	True
Zm00001eb002620	chr1	+	False	True	5	2	41	48	True
Zm00001eb002640	chr1	-	False	True	8	1	70	79	True
Zm00001eb002660	chr1	-	False	True	0	0	6	6	True
Zm00001eb002680	chr1	+	False	True	4	0	38	42	True
Zm00001eb002740	chr1	-	False	True	7	1	10	18	True
Zm00001eb002760	chr1	-	False	True	1	0	6	7	True
Zm00001eb002810	chr1	-	False	True	4	0	51	55	True
Zm00001eb002820	chr1	-	False	True	1	0	4	5	True
Zm00001eb002870	chr1	+	False	True	7	0	11	18	True
Zm00001eb002930	chr1	-	False	True	3	2	17	22	True
Zm00001eb002940	chr1	-	False	True	12	3	20	35	True
Zm00001eb003000	chr1	+	False	True	1	0	2	3	True
Zm00001eb003010	chr1	-	False	True	0	0	2	2	True
Zm00001eb003020	chr1	+	False	True	0	0	1	1	True
Zm00001eb003030	chr1	-	False	True	1	2	2	5	True
Zm00001eb003040	chr1	+	False	True	4	0	8	12	True
Zm00001eb003070	chr1	+	False	True	3	1	23	27	True
Zm00001eb003080	chr1	+	False	True	1	0	12	13	True
Zm00001eb003130	chr1	+	False	True	4	1	19	24	True
Zm00001eb003170	chr1	-	False	True	10	0	27	37	True
Zm00001eb003180	chr1	+	True	False	0	0	11	11	True
Zm00001eb003190	chr1	-	False	True	5	0	11	16	True
Zm00001eb003200	chr1	+	False	True	10	0	18	28	True
Zm00001eb003210	chr1	-	False	True	1	0	0	1	True
Zm00001eb003350	chr1	-	False	True	1	0	12	13	True
Zm00001eb003360	chr1	-	False	True	1	0	3	4	True
Zm00001eb003420	chr1	+	False	True	5	1	10	16	True
Zm00001eb003550	chr1	+	False	True	4	2	20	26	True
Zm00001eb003580	chr1	-	False	True	10	0	49	59	True
Zm00001eb003670	chr1	+	False	True	1	2	13	16	True
Zm00001eb003690	chr1	-	False	True	8	1	32	41	True
Zm00001eb003730	chr1	-	False	True	8	3	14	25	True
Zm00001eb003760	chr1	+	False	True	0	0	2	2	True
Zm00001eb003780	chr1	+	False	True	1	0	1	2	True
Zm00001eb003810	chr1	+	False	True	1	1	0	2	True
Zm00001eb003820	chr1	+	False	True	0	0	2	2	True
Zm00001eb003830	chr1	-	False	True	0	0	0	0	False
Zm00001eb003840	chr1	-	False	True	3	1	7	11	True
Zm00001eb003850	chr1	+	False	True	4	1	8	13	True
Zm00001eb003890	chr1	+	False	True	7	1	18	26	True
Zm00001eb004160	chr1	+	False	True	0	0	9	9	True
Zm00001eb004170	chr1	-	False	True	10	1	19	30	True
Zm00001eb004180	chr1	-	False	True	9	0	16	25	True
Zm00001eb004190	chr1	+	False	True	8	1	14	23	True
Zm00001eb004240	chr1	+	False	True	0	0	0	0	False
Zm00001eb004290	chr1	+	False	True	3	0	12	15	True
Zm00001eb004310	chr1	-	False	True	10	1	25	36	True
Zm00001eb004320	chr1	+	False	True	3	0	7	10	True
Zm00001eb004340	chr1	-	False	True	6	1	22	29	True
Zm00001eb004400	chr1	+	False	True	1	0	3	4	True
Zm00001eb004410	chr1	-	False	True	9	2	22	33	True
Zm00001eb004420	chr1	-	False	True	7	0	13	20	True
Zm00001eb004430	chr1	-	False	True	0	0	0	0	False
Zm00001eb004440	chr1	+	False	True	0	0	1	1	True
Zm00001eb004550	chr1	-	False	True	0	0	5	5	True
Zm00001eb004570	chr1	-	False	True	2	0	5	7	True
Zm00001eb004590	chr1	-	False	True	3	0	6	9	True
Zm00001eb004630	chr1	+	False	True	4	0	4	8	True
Zm00001eb004660	chr1	+	False	True	3	0	1	4	True
Zm00001eb004670	chr1	+	False	True	7	0	12	19	True
Zm00001eb004770	chr1	+	False	True	5	1	18	24	True
Zm00001eb004780	chr1	+	False	True	5	0	15	20	True
Zm00001eb004790	chr1	+	False	True	4	0	14	18	True
Zm00001eb004940	chr1	+	False	True	0	0	0	0	False
Zm00001eb004990	chr1	+	False	True	5	1	35	41	True
Zm00001eb005000	chr1	+	False	True	0	1	7	8	True
Zm00001eb005020	chr1	-	False	True	0	0	0	0	False
Zm00001eb005030	chr1	-	False	True	14	0	22	36	True
Zm00001eb005060	chr1	+	False	True	0	0	0	0	False
Zm00001eb005140	chr1	+	False	True	7	0	52	59	True
Zm00001eb005210	chr1	+	False	True	1	0	9	10	True
Zm00001eb005230	chr1	+	False	True	0	0	0	0	False
Zm00001eb005280	chr1	+	False	True	1	0	2	3	True
Zm00001eb005330	chr1	+	False	True	2	0	5	7	True
Zm00001eb005340	chr1	-	False	True	3	0	28	31	True
Zm00001eb005360	chr1	-	False	True	2	0	9	11	True
Zm00001eb005370	chr1	+	False	True	4	1	6	11	True
Zm00001eb005380	chr1	+	False	True	3	1	13	17	True
Zm00001eb005390	chr1	-	False	True	9	1	60	70	True
Zm00001eb005400	chr1	-	False	True	2	1	3	6	True
Zm00001eb005430	chr1	-	False	True	4	3	7	14	True
Zm00001eb005460	chr1	-	False	True	2	0	2	4	True
Zm00001eb005530	chr1	+	False	True	1	0	1	2	True
Zm00001eb005550	chr1	+	False	True	6	1	71	78	True
Zm00001eb005570	chr1	-	False	True	0	0	1	1	True
Zm00001eb005600	chr1	+	False	True	5	0	18	23	True
Zm00001eb005660	chr1	-	False	True	9	1	47	57	True
Zm00001eb005670	chr1	+	False	True	5	1	19	25	True
Zm00001eb005680	chr1	-	True	False	2	0	19	21	True
Zm00001eb005700	chr1	+	False	True	0	1	2	3	True
Zm00001eb005760	chr1	-	True	False	5	0	5	10	True
Zm00001eb005780	chr1	-	False	True	2	0	5	7	True
Zm00001eb005820	chr1	-	False	True	6	0	18	24	True
Zm00001eb005830	chr1	+	False	True	9	2	50	61	True
Zm00001eb005840	chr1	-	False	True	9	0	62	71	True
Zm00001eb005850	chr1	-	False	True	13	1	65	79	True
Zm00001eb005860	chr1	-	False	True	12	1	36	49	True
Zm00001eb005900	chr1	+	False	True	10	0	18	28	True
Zm00001eb005920	chr1	+	False	True	4	1	17	22	True
Zm00001eb005990	chr1	+	False	True	4	0	12	16	True
Zm00001eb006000	chr1	+	False	True	3	1	10	14	True
Zm00001eb006020	chr1	+	False	True	7	2	33	42	True
Zm00001eb006080	chr1	+	False	True	2	0	0	2	True
Zm00001eb006150	chr1	-	False	True	0	1	3	4	True
Zm00001eb006180	chr1	-	False	True	11	1	17	29	True
Zm00001eb006210	chr1	+	False	True	3	0	7	10	True
Zm00001eb006270	chr1	+	False	True	7	0	22	29	True
Zm00001eb006300	chr1	+	False	True	6	1	20	27	True
Zm00001eb006380	chr1	+	False	True	6	0	29	35	True
Zm00001eb006390	chr1	+	False	True	4	2	31	37	True
Zm00001eb006400	chr1	+	False	True	8	1	49	58	True
Zm00001eb006450	chr1	+	False	True	4	0	32	36	True
Zm00001eb006470	chr1	+	False	True	2	0	2	4	True
Zm00001eb006480	chr1	-	False	True	8	1	8	17	True
Zm00001eb006510	chr1	+	False	True	3	1	25	29	True
Zm00001eb006520	chr1	+	False	True	7	0	37	44	True
Zm00001eb006530	chr1	+	False	True	2	0	11	13	True
Zm00001eb006540	chr1	-	False	True	3	0	24	27	True
Zm00001eb006550	chr1	+	False	True	5	0	25	30	True
Zm00001eb006560	chr1	+	False	True	6	0	9	15	True
Zm00001eb006570	chr1	+	False	True	0	1	7	8	True
Zm00001eb006590	chr1	+	False	True	4	0	8	12	True
Zm00001eb006620	chr1	+	False	True	2	0	4	6	True
Zm00001eb006760	chr1	-	False	True	13	1	57	71	True
Zm00001eb006770	chr1	-	False	True	1	0	0	1	True
Zm00001eb006830	chr1	-	False	True	0	0	2	2	True
Zm00001eb006850	chr1	-	False	True	8	1	1	10	True
Zm00001eb006870	chr1	-	True	False	7	0	15	22	True
Zm00001eb006880	chr1	-	False	True	0	0	0	0	False
Zm00001eb006910	chr1	-	False	True	1	2	20	23	True
Zm00001eb006940	chr1	+	False	True	3	0	1	4	True
Zm00001eb007010	chr1	-	False	True	0	1	9	10	True
Zm00001eb007030	chr1	+	False	True	3	1	12	16	True
Zm00001eb007050	chr1	+	False	True	2	0	2	4	True
Zm00001eb007060	chr1	+	False	True	5	0	13	18	True
Zm00001eb007090	chr1	+	False	True	3	0	7	10	True
Zm00001eb007100	chr1	-	False	True	9	0	25	34	True
Zm00001eb007130	chr1	+	False	True	1	0	21	22	True
Zm00001eb007150	chr1	-	False	True	4	1	13	18	True
Zm00001eb007170	chr1	-	False	True	1	0	4	5	True
Zm00001eb007180	chr1	+	False	True	0	0	1	1	True
Zm00001eb007220	chr1	+	False	True	0	0	0	0	False
Zm00001eb007240	chr1	+	False	True	1	0	2	3	True
Zm00001eb007250	chr1	+	False	True	8	0	15	23	True
Zm00001eb007270	chr1	-	False	True	8	1	16	25	True
Zm00001eb007280	chr1	+	False	True	6	0	11	17	True
Zm00001eb007310	chr1	-	False	True	12	1	21	34	True
Zm00001eb007320	chr1	+	False	True	7	0	16	23	True
Zm00001eb007500	chr1	-	False	True	7	0	8	15	True
Zm00001eb007510	chr1	-	False	True	7	0	65	72	True
Zm00001eb007570	chr1	-	False	True	0	1	5	6	True
Zm00001eb007600	chr1	+	False	True	4	1	15	20	True
Zm00001eb007650	chr1	-	False	True	5	0	29	34	True
Zm00001eb007670	chr1	-	False	True	9	2	35	46	True
Zm00001eb007680	chr1	-	False	True	1	0	1	2	True
Zm00001eb007690	chr1	+	False	True	2	0	1	3	True
Zm00001eb007700	chr1	+	False	True	2	3	13	18	True
Zm00001eb007730	chr1	+	False	True	0	0	3	3	True
Zm00001eb007780	chr1	+	False	True	1	0	13	14	True
Zm00001eb007800	chr1	-	False	True	1	1	11	13	True
Zm00001eb007810	chr1	+	False	True	4	0	19	23	True
Zm00001eb007820	chr1	+	False	True	1	0	2	3	True
Zm00001eb007860	chr1	-	False	True	6	1	29	36	True
Zm00001eb007900	chr1	+	False	True	3	0	4	7	True
Zm00001eb007930	chr1	+	False	True	6	2	42	50	True
Zm00001eb007960	chr1	-	False	True	3	0	1	4	True
Zm00001eb008010	chr1	-	False	True	4	0	18	22	True
Zm00001eb008060	chr1	+	False	True	5	1	12	18	True
Zm00001eb008070	chr1	-	False	True	4	0	33	37	True
Zm00001eb008080	chr1	-	False	True	0	0	1	1	True
Zm00001eb008090	chr1	+	False	True	0	1	1	2	True
Zm00001eb008100	chr1	+	False	True	0	0	4	4	True
Zm00001eb008150	chr1	+	False	True	5	0	5	10	True
Zm00001eb008160	chr1	-	False	True	3	0	36	39	True
Zm00001eb008290	chr1	+	False	True	14	1	24	39	True
Zm00001eb008340	chr1	-	False	True	4	1	22	27	True
Zm00001eb008360	chr1	+	False	True	7	2	20	29	True
Zm00001eb008370	chr1	+	False	True	0	0	0	0	False
Zm00001eb008400	chr1	-	False	True	0	0	1	1	True
Zm00001eb008420	chr1	-	False	True	0	0	0	0	False
Zm00001eb008430	chr1	+	False	True	4	0	13	17	True
Zm00001eb008440	chr1	+	False	True	10	1	8	19	True
Zm00001eb008450	chr1	-	False	True	24	0	47	71	True
Zm00001eb008460	chr1	-	False	True	1	0	8	9	True
Zm00001eb008470	chr1	+	False	True	1	0	2	3	True
Zm00001eb008490	chr1	-	False	True	4	0	26	30	True
Zm00001eb008550	chr1	+	False	True	2	0	5	7	True
Zm00001eb008570	chr1	+	False	True	8	1	27	36	True
Zm00001eb008590	chr1	-	False	True	0	1	11	12	True
Zm00001eb008610	chr1	+	False	True	0	0	7	7	True
Zm00001eb008620	chr1	+	False	True	11	1	30	42	True
Zm00001eb008640	chr1	-	False	True	3	1	6	10	True
Zm00001eb008650	chr1	-	False	True	6	0	11	17	True
Zm00001eb008660	chr1	-	False	True	0	1	8	9	True
Zm00001eb008700	chr1	-	False	True	0	0	0	0	False
Zm00001eb008710	chr1	+	False	True	17	0	37	54	True
Zm00001eb008720	chr1	+	False	True	3	1	7	11	True
Zm00001eb008730	chr1	-	False	True	0	0	0	0	False
Zm00001eb008790	chr1	-	False	True	12	0	25	37	True
Zm00001eb008800	chr1	+	False	True	13	2	22	37	True
Zm00001eb008810	chr1	-	False	True	9	0	16	25	True
Zm00001eb008850	chr1	-	False	True	2	0	6	8	True
Zm00001eb008880	chr1	-	False	True	4	1	13	18	True
Zm00001eb008900	chr1	-	False	True	4	1	26	31	True
Zm00001eb008910	chr1	+	False	True	0	1	2	3	True
Zm00001eb008920	chr1	-	False	True	2	1	13	16	True
Zm00001eb008950	chr1	-	False	True	5	0	12	17	True
Zm00001eb009060	chr1	+	False	True	7	0	31	38	True
Zm00001eb009070	chr1	+	False	True	2	1	14	17	True
Zm00001eb009080	chr1	-	False	True	1	1	14	16	True
Zm00001eb009090	chr1	-	False	True	7	2	24	33	True
Zm00001eb009100	chr1	-	False	True	0	0	4	4	True
Zm00001eb009110	chr1	+	False	True	9	1	9	19	True
Zm00001eb009130	chr1	+	False	True	0	1	3	4	True
Zm00001eb009140	chr1	+	False	True	0	0	4	4	True
Zm00001eb009160	chr1	-	False	True	4	1	25	30	True
Zm00001eb009170	chr1	+	False	True	1	0	11	12	True
Zm00001eb009240	chr1	+	False	True	2	0	7	9	True
Zm00001eb009250	chr1	-	False	True	10	0	15	25	True
Zm00001eb009480	chr1	+	False	True	4	1	19	24	True
Zm00001eb009490	chr1	+	False	True	6	0	21	27	True
Zm00001eb009500	chr1	+	False	True	0	0	1	1	True
Zm00001eb009540	chr1	-	False	True	9	5	15	29	True
Zm00001eb009550	chr1	-	False	True	2	1	9	12	True
Zm00001eb009570	chr1	-	False	True	1	0	10	11	True
Zm00001eb009580	chr1	+	False	True	2	2	23	27	True
Zm00001eb009600	chr1	+	False	True	4	0	4	8	True
Zm00001eb009730	chr1	-	False	True	4	0	32	36	True
Zm00001eb009770	chr1	-	False	True	6	2	52	60	True
Zm00001eb009780	chr1	+	False	True	5	1	14	20	True
Zm00001eb009810	chr1	-	False	True	6	0	45	51	True
Zm00001eb009870	chr1	+	False	True	0	0	0	0	False
Zm00001eb009900	chr1	-	False	True	5	0	34	39	True
Zm00001eb010030	chr1	+	False	True	0	0	0	0	False
Zm00001eb010040	chr1	+	False	True	9	1	14	24	True
Zm00001eb010060	chr1	+	False	True	5	1	8	14	True
Zm00001eb010070	chr1	-	False	True	5	0	16	21	True
Zm00001eb010110	chr1	-	False	True	19	1	18	38	True
Zm00001eb010130	chr1	+	False	True	9	1	26	36	True
Zm00001eb010140	chr1	+	False	True	15	0	25	40	True
Zm00001eb010230	chr1	-	False	True	0	0	0	0	False
Zm00001eb010280	chr1	+	False	True	3	0	12	15	True
Zm00001eb010310	chr1	+	False	True	0	1	2	3	True
Zm00001eb010320	chr1	-	False	True	3	1	12	16	True
Zm00001eb010340	chr1	-	False	True	8	1	21	30	True
Zm00001eb010370	chr1	-	True	False	8	1	31	40	True
Zm00001eb010400	chr1	-	False	True	0	0	0	0	False
Zm00001eb010410	chr1	+	False	True	0	0	0	0	False
Zm00001eb010440	chr1	+	True	False	13	2	15	30	True
Zm00001eb010480	chr1	-	False	True	11	0	22	33	True
Zm00001eb010590	chr1	-	False	True	13	3	55	71	True
Zm00001eb010600	chr1	+	False	True	10	2	35	47	True
Zm00001eb010610	chr1	+	False	True	12	0	19	31	True
Zm00001eb010620	chr1	-	False	True	1	0	5	6	True
Zm00001eb010660	chr1	+	False	True	7	0	13	20	True
Zm00001eb010700	chr1	+	False	True	0	0	0	0	False
Zm00001eb010730	chr1	-	False	True	0	0	0	0	False
Zm00001eb010770	chr1	-	False	True	11	1	17	29	True
Zm00001eb010810	chr1	+	False	True	2	0	1	3	True
Zm00001eb010820	chr1	+	False	True	0	0	0	0	False
Zm00001eb010860	chr1	-	False	True	0	0	0	0	False
Zm00001eb010900	chr1	-	False	True	4	0	20	24	True
Zm00001eb010990	chr1	-	False	True	2	0	23	25	True
Zm00001eb011000	chr1	+	False	True	0	1	2	3	True
Zm00001eb011020	chr1	-	False	True	2	0	2	4	True
Zm00001eb011050	chr1	-	False	True	6	0	13	19	True
Zm00001eb011070	chr1	+	False	True	4	0	16	20	True
Zm00001eb011080	chr1	-	False	True	3	1	5	9	True
Zm00001eb011140	chr1	-	False	True	3	2	6	11	True
Zm00001eb011150	chr1	-	False	True	2	0	8	10	True
Zm00001eb011170	chr1	-	False	True	1	1	9	11	True
Zm00001eb011200	chr1	+	False	True	0	0	4	4	True
Zm00001eb011220	chr1	-	False	True	8	0	48	56	True
Zm00001eb011230	chr1	+	False	True	5	0	16	21	True
Zm00001eb011310	chr1	-	False	True	0	1	0	1	True
Zm00001eb011380	chr1	+	False	True	10	1	11	22	True
Zm00001eb011420	chr1	+	True	False	0	0	4	4	True
Zm00001eb011470	chr1	+	False	True	0	1	0	1	True
Zm00001eb011480	chr1	-	False	True	4	0	14	18	True
Zm00001eb011490	chr1	-	False	True	1	1	6	8	True
Zm00001eb011720	chr1	+	False	True	5	1	10	16	True
Zm00001eb011730	chr1	-	False	True	18	1	87	106	True
Zm00001eb011750	chr1	+	False	True	6	0	6	12	True
Zm00001eb011760	chr1	+	False	True	2	2	9	13	True
Zm00001eb011780	chr1	+	False	True	8	1	42	51	True
Zm00001eb011800	chr1	+	False	True	0	1	5	6	True
Zm00001eb011810	chr1	+	False	True	3	0	11	14	True
Zm00001eb011820	chr1	-	False	True	4	1	15	20	True
Zm00001eb011830	chr1	+	False	True	3	0	18	21	True
Zm00001eb011840	chr1	+	False	True	4	0	7	11	True
Zm00001eb011860	chr1	-	False	True	3	0	19	22	True
Zm00001eb011880	chr1	+	False	True	4	0	32	36	True
Zm00001eb011910	chr1	+	False	True	7	1	19	27	True
Zm00001eb011930	chr1	+	False	True	0	1	3	4	True
Zm00001eb011940	chr1	-	True	False	13	0	21	34	True
Zm00001eb011950	chr1	+	False	True	3	0	0	3	True
Zm00001eb011960	chr1	-	False	True	4	0	3	7	True
Zm00001eb011980	chr1	+	False	True	5	1	13	19	True
Zm00001eb011990	chr1	-	False	True	10	0	43	53	True
Zm00001eb012000	chr1	-	False	True	8	2	47	57	True
Zm00001eb012010	chr1	-	False	True	3	2	44	49	True
Zm00001eb012040	chr1	-	False	True	4	0	2	6	True
Zm00001eb012060	chr1	-	False	True	1	1	10	12	True
Zm00001eb012070	chr1	+	False	True	2	0	3	5	True
Zm00001eb012100	chr1	-	False	True	0	0	1	1	True
Zm00001eb012130	chr1	+	False	True	6	0	24	30	True
Zm00001eb012180	chr1	+	False	True	5	0	7	12	True
Zm00001eb012200	chr1	+	False	True	5	0	52	57	True
Zm00001eb012210	chr1	+	False	True	2	1	2	5	True
Zm00001eb012220	chr1	+	False	True	5	1	31	37	True
Zm00001eb012280	chr1	-	False	True	3	0	13	16	True
Zm00001eb012310	chr1	+	False	True	2	0	0	2	True
Zm00001eb012330	chr1	+	False	True	6	0	7	13	True
Zm00001eb012340	chr1	-	False	True	2	0	5	7	True
Zm00001eb012360	chr1	-	False	True	8	0	19	27	True
Zm00001eb012390	chr1	-	False	True	7	0	9	16	True
Zm00001eb012440	chr1	-	False	True	5	0	6	11	True
Zm00001eb012470	chr1	+	False	True	5	1	6	12	True
Zm00001eb012480	chr1	-	False	True	5	2	19	26	True
Zm00001eb012540	chr1	+	False	True	10	0	13	23	True
Zm00001eb012600	chr1	-	False	True	3	0	20	23	True
Zm00001eb012610	chr1	-	False	True	0	0	14	14	True
Zm00001eb012650	chr1	+	False	True	4	1	13	18	True
Zm00001eb012660	chr1	-	False	True	4	0	19	23	True
Zm00001eb012670	chr1	-	False	True	0	2	7	9	True
Zm00001eb012780	chr1	+	False	True	2	1	3	6	True
Zm00001eb012860	chr1	-	False	True	4	1	34	39	True
Zm00001eb012870	chr1	-	False	True	2	1	7	10	True
Zm00001eb012890	chr1	-	False	True	3	0	10	13	True
Zm00001eb012900	chr1	-	False	True	4	0	13	17	True
Zm00001eb012910	chr1	-	False	True	2	0	17	19	True
Zm00001eb012920	chr1	-	True	False	1	1	9	11	True
Zm00001eb012930	chr1	-	False	True	0	0	0	0	False
Zm00001eb012950	chr1	+	False	True	3	0	13	16	True
Zm00001eb012960	chr1	-	False	True	3	1	7	11	True
Zm00001eb012980	chr1	-	False	True	3	0	7	10	True
Zm00001eb013000	chr1	+	False	True	2	0	4	6	True
Zm00001eb013020	chr1	-	False	True	5	1	10	16	True
Zm00001eb013030	chr1	+	False	True	4	0	26	30	True
Zm00001eb013040	chr1	+	False	True	6	0	7	13	True
Zm00001eb013060	chr1	+	False	True	4	1	14	19	True
Zm00001eb013080	chr1	+	False	True	9	1	46	56	True
Zm00001eb013100	chr1	-	False	True	7	1	12	20	True
Zm00001eb013110	chr1	+	False	True	3	0	10	13	True
Zm00001eb013120	chr1	+	False	True	5	0	10	15	True
Zm00001eb013150	chr1	-	False	True	0	0	0	0	False
Zm00001eb013180	chr1	+	False	True	15	0	72	87	True
Zm00001eb013190	chr1	-	False	True	2	0	9	11	True
